Own Bid,,Bid opponent,
(u=0.863825759227598, t=-1.0),(u=0.2969260373579895, t=0.01639344262295082)
(u=0.84868595115394, t=-1.0),(u=0.2969260373579895, t=0.03278688524590164)
(u=0.7260563110424386, t=-1.0),(u=0.2969260373579895, t=0.04918032786885246)
(u=0.7643395831284985, t=-1.0),(u=0.2969260373579895, t=0.06557377049180328)
(u=0.7095795724871835, t=-1.0),(u=0.2969260373579895, t=0.08196721311475409)
(u=0.718631861289026, t=-1.0),(u=0.2969260373579895, t=0.09836065573770492)
(u=0.7391337609265539, t=-1.0),(u=0.2969260373579895, t=0.11475409836065574)
(u=0.7041630589636441, t=-1.0),(u=0.2969260373579895, t=0.13114754098360656)
(u=0.7064061285838853, t=-1.0),(u=0.2969260373579895, t=0.14754098360655737)
(u=0.7041630589636441, t=-1.0),(u=0.2969260373579895, t=0.16393442622950818)
(u=0.9120887338395958, t=-1.0),(u=0.2969260373579895, t=0.18032786885245902)
(u=0.7408336480570514, t=-1.0),(u=0.2969260373579895, t=0.19672131147540983)
(u=0.8760514919327387, t=-1.0),(u=0.2969260373579895, t=0.21311475409836064)
(u=0.7031095032820749, t=-1.0),(u=0.2969260373579895, t=0.22950819672131148)
(u=0.8298094378129923, t=-1.0),(u=0.2969260373579895, t=0.2459016393442623)
(u=0.7153222517248375, t=-1.0),(u=0.2969260373579895, t=0.26229508196721313)
(u=0.7895211900560208, t=-1.0),(u=0.2969260373579895, t=0.2786885245901639)
(u=0.7881510923302149, t=-1.0),(u=0.2969260373579895, t=0.29508196721311475)
(u=0.7047964061501943, t=-1.0),(u=0.2969260373579895, t=0.3114754098360656)
(u=0.8235504957330047, t=-1.0),(u=0.2969260373579895, t=0.32786885245901637)
(u=0.7742114899327461, t=-1.0),(u=0.2969260373579895, t=0.3442622950819672)
(u=0.703806659782189, t=-1.0),(u=0.2969260373579895, t=0.36065573770491804)
(u=0.718631861289026, t=-1.0),(u=0.2969260373579895, t=0.3770491803278688)
(u=0.7821864194095596, t=-1.0),(u=0.31340277591324467, t=0.39344262295081966)
(u=0.892528230487994, t=-1.0),(u=0.31340277591324467, t=0.4098360655737705)
(u=0.8760514919327387, t=-1.0),(u=0.31340277591324467, t=0.4262295081967213)
(u=0.7524194245536271, t=-1.0),(u=0.31340277591324467, t=0.4426229508196721)
(u=0.7570048124820374, t=-1.0),(u=0.31340277591324467, t=0.45901639344262296)
(u=0.7080446813699256, t=-1.0),(u=0.49464690002105177, t=0.47540983606557374)
(u=0.7112841063801868, t=-1.0),(u=0.49464690002105177, t=0.4918032786885246)
(u=0.8564909885811369, t=-1.0),(u=0.49464690002105177, t=0.5081967213114754)
(u=0.8564909885811369, t=-1.0),(u=0.46848669727080305, t=0.5245901639344263)
(u=0.8564909885811369, t=-1.0),(u=0.4781701614657966, t=0.5409836065573771)
(u=0.8564909885811369, t=-1.0),(u=0.4849634358260582, t=0.5573770491803278)
(u=0.8564909885811369, t=-1.0),(u=0.6662075599338653, t=0.5737704918032787)
(u=0.8564909885811369, t=-1.0),(u=0.3207375465597058, t=0.5901639344262295)
(u=0.8564909885811369, t=-1.0),(u=0.6497308213786102, t=0.6065573770491803)
(u=0.8564909885811369, t=-1.0),(u=0.37037061889750944, t=0.6229508196721312)
(u=0.8564909885811369, t=-1.0),(u=0.48720946600526105, t=0.639344262295082)
(u=0.8564909885811369, t=-1.0),(u=0.2370902705117941, t=0.6557377049180327)
(u=0.8564909885811369, t=-1.0),(u=0.6900190691355816, t=0.6721311475409836)
