sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0,069;58;;60rounds;Yes;No;2;0,45313;0,91500;0,00000;0,22810;1,36813;Group29_BoaParty@53024;TimeDependentAgentBoulware@53025;0.9150000000000015;0.453125;0.9150000000000015;0.453125;0.9150000000000015;0.0;Jobs_util1.xml;Jobs_util2.xml
0,060;54;;60rounds;Yes;No;2;0,63000;0,77562;0,03000;0,21633;1,40563;TimeDependentAgentBoulware@53026;Group29_BoaParty@53027;0.63;0.7756249999999999;0.63;0.7756249999999999;0.0;0.7756249999999999;Jobs_util1.xml;Jobs_util2.xml
0,011;10;;60rounds;Yes;No;2;0,69000;0,70000;0,02828;0,12794;1,39000;TimeDependentAgentConceder@53028;Group29_BoaParty@53029;0.6900000000000001;0.7000000000000001;0.6900000000000001;0.7000000000000001;0.0;0.7000000000000001;Jobs_util1.xml;Jobs_util2.xml
0,069;61;;60rounds;No;No;1;0,00000;0,00000;1,00944;1,04209;0,00000;TimeDependentAgentHardliner@53030;Group29_BoaParty@53031;0.0;0.0;0.0;0.0;0.0;0.0;Jobs_util1.xml;Jobs_util2.xml
0,031;31;;60rounds;Yes;No;2;0,41063;0,90000;0,03579;0,26101;1,31063;Group29_BoaParty@53032;TimeDependentAgentConceder@53033;0.9;0.410625;0.9;0.410625;0.9;0.0;Jobs_util1.xml;Jobs_util2.xml
0,038;38;;60rounds;Yes;No;2;0,40312;0,93500;0,00000;0,28175;1,33813;TimeDependentAgentBoulware@53034;TimeDependentAgentConceder@53035;0.9350000000000015;0.40312499999999996;0.9350000000000015;0.40312499999999996;0.0;0.0;Jobs_util1.xml;Jobs_util2.xml
0,035;36;;60rounds;Yes;No;2;0,43000;0,95000;0,04000;0,48068;1,38000;TimeDependentAgentConceder@53036;TimeDependentAgentBoulware@53037;0.43000000000000005;0.95;0.43000000000000005;0.95;0.0;0.0;Jobs_util1.xml;Jobs_util2.xml
0,063;61;;60rounds;Yes;No;2;0,23063;1,00000;0,00000;0,46554;1,23063;TimeDependentAgentHardliner@53038;TimeDependentAgentBoulware@53039;1.0;0.230625;1.0;0.230625;0.0;0.0;Jobs_util1.xml;Jobs_util2.xml
0,065;61;;60rounds;No;No;1;0,00000;0,00000;1,00944;1,04209;0,00000;Group29_BoaParty@53040;TimeDependentAgentHardliner@53041;0.0;0.0;0.0;0.0;0.0;0.0;Jobs_util1.xml;Jobs_util2.xml
0,065;59;;60rounds;Yes;No;2;0,41000;1,00000;0,00000;0,52782;1,41000;TimeDependentAgentBoulware@53042;TimeDependentAgentHardliner@53043;0.41000000000000003;0.9999999999999999;0.41000000000000003;0.9999999999999999;0.0;0.0;Jobs_util1.xml;Jobs_util2.xml
