sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0,082;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1004;BoulwareNegotiationParty@1005;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,090;57;;60rounds;Yes;No;2;0,41063;0,90000;0,03579;0,26101;1,31063;Group29_BoaParty@1006;BoulwareNegotiationParty@1007;0.9;0.410625;0.9;0.410625;0.9;0.410625;Jobs_util1.xml;Jobs_util2.xml
0,085;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1008;Group29_BoaParty@1009;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,106;60;;60rounds;Yes;No;2;0,47563;0,91000;0,00000;0,20591;1,38563;Group29_BoaParty@1010;Group29_BoaParty@1011;0.91;0.475625;0.91;0.475625;0.91;0.475625;Jobs_util1.xml;Jobs_util2.xml
0,077;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1012;BoulwareNegotiationParty@1013;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,082;57;;60rounds;Yes;No;2;0,41063;0,90000;0,03579;0,26101;1,31063;Group29_BoaParty@1014;BoulwareNegotiationParty@1015;0.9;0.410625;0.9;0.410625;0.9;0.410625;Jobs_util1.xml;Jobs_util2.xml
0,085;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1016;Group29_BoaParty@1017;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,112;60;;60rounds;Yes;No;2;0,45313;0,91500;0,00000;0,22810;1,36813;Group29_BoaParty@1018;Group29_BoaParty@1019;0.9150000000000015;0.453125;0.9150000000000015;0.453125;0.9150000000000015;0.453125;Jobs_util1.xml;Jobs_util2.xml
0,077;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1020;BoulwareNegotiationParty@1021;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,086;57;;60rounds;Yes;No;2;0,41063;0,90000;0,03579;0,26101;1,31063;Group29_BoaParty@1022;BoulwareNegotiationParty@1023;0.9;0.410625;0.9;0.410625;0.9;0.410625;Jobs_util1.xml;Jobs_util2.xml
0,088;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1024;Group29_BoaParty@1025;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,107;60;;60rounds;Yes;No;2;0,47563;0,91000;0,00000;0,20591;1,38563;Group29_BoaParty@1026;Group29_BoaParty@1027;0.91;0.475625;0.91;0.475625;0.91;0.475625;Jobs_util1.xml;Jobs_util2.xml
0,072;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1028;BoulwareNegotiationParty@1029;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,079;57;;60rounds;Yes;No;2;0,41063;0,90000;0,03579;0,26101;1,31063;Group29_BoaParty@1030;BoulwareNegotiationParty@1031;0.9;0.410625;0.9;0.410625;0.9;0.410625;Jobs_util1.xml;Jobs_util2.xml
0,096;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1032;Group29_BoaParty@1033;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,108;60;;60rounds;Yes;No;2;0,47563;0,91000;0,00000;0,20591;1,38563;Group29_BoaParty@1034;Group29_BoaParty@1035;0.91;0.475625;0.91;0.475625;0.91;0.475625;Jobs_util1.xml;Jobs_util2.xml
0,080;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1036;BoulwareNegotiationParty@1037;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,094;57;;60rounds;Yes;No;2;0,41063;0,90000;0,03579;0,26101;1,31063;Group29_BoaParty@1038;BoulwareNegotiationParty@1039;0.9;0.410625;0.9;0.410625;0.9;0.410625;Jobs_util1.xml;Jobs_util2.xml
0,091;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1040;Group29_BoaParty@1041;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,103;60;;60rounds;Yes;No;2;0,47563;0,91000;0,00000;0,20591;1,38563;Group29_BoaParty@1042;Group29_BoaParty@1043;0.91;0.475625;0.91;0.475625;0.91;0.475625;Jobs_util1.xml;Jobs_util2.xml
0,077;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1044;BoulwareNegotiationParty@1045;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,099;57;;60rounds;Yes;No;2;0,41063;0,90000;0,03579;0,26101;1,31063;Group29_BoaParty@1046;BoulwareNegotiationParty@1047;0.9;0.410625;0.9;0.410625;0.9;0.410625;Jobs_util1.xml;Jobs_util2.xml
0,090;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1048;Group29_BoaParty@1049;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,107;60;;60rounds;Yes;No;2;0,45313;0,91500;0,00000;0,22810;1,36813;Group29_BoaParty@1050;Group29_BoaParty@1051;0.9150000000000015;0.453125;0.9150000000000015;0.453125;0.9150000000000015;0.453125;Jobs_util1.xml;Jobs_util2.xml
0,082;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1052;BoulwareNegotiationParty@1053;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,089;57;;60rounds;Yes;No;2;0,41063;0,90000;0,03579;0,26101;1,31063;Group29_BoaParty@1054;BoulwareNegotiationParty@1055;0.9;0.410625;0.9;0.410625;0.9;0.410625;Jobs_util1.xml;Jobs_util2.xml
0,088;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1056;Group29_BoaParty@1057;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,095;60;;60rounds;Yes;No;2;0,41063;0,90000;0,03579;0,26101;1,31063;Group29_BoaParty@1058;Group29_BoaParty@1059;0.9;0.410625;0.9;0.410625;0.9;0.410625;Jobs_util1.xml;Jobs_util2.xml
0,083;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1060;BoulwareNegotiationParty@1061;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,093;57;;60rounds;Yes;No;2;0,41063;0,90000;0,03579;0,26101;1,31063;Group29_BoaParty@1062;BoulwareNegotiationParty@1063;0.9;0.410625;0.9;0.410625;0.9;0.410625;Jobs_util1.xml;Jobs_util2.xml
0,101;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1064;Group29_BoaParty@1065;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,120;60;;60rounds;Yes;No;2;0,41063;0,90000;0,03579;0,26101;1,31063;Group29_BoaParty@1066;Group29_BoaParty@1067;0.9;0.410625;0.9;0.410625;0.9;0.410625;Jobs_util1.xml;Jobs_util2.xml
0,079;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1068;BoulwareNegotiationParty@1069;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,087;57;;60rounds;Yes;No;2;0,41063;0,90000;0,03579;0,26101;1,31063;Group29_BoaParty@1070;BoulwareNegotiationParty@1071;0.9;0.410625;0.9;0.410625;0.9;0.410625;Jobs_util1.xml;Jobs_util2.xml
0,091;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1072;Group29_BoaParty@1073;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,103;60;;60rounds;Yes;No;2;0,47563;0,91000;0,00000;0,20591;1,38563;Group29_BoaParty@1074;Group29_BoaParty@1075;0.91;0.475625;0.91;0.475625;0.91;0.475625;Jobs_util1.xml;Jobs_util2.xml
0,078;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1076;BoulwareNegotiationParty@1077;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
0,087;57;;60rounds;Yes;No;2;0,41063;0,90000;0,03579;0,26101;1,31063;Group29_BoaParty@1078;BoulwareNegotiationParty@1079;0.9;0.410625;0.9;0.410625;0.9;0.410625;Jobs_util1.xml;Jobs_util2.xml
0,086;52;;60rounds;Yes;No;2;0,63000;0,72000;0,06978;0,19117;1,35000;BoulwareNegotiationParty@1080;Group29_BoaParty@1081;0.6300000000000001;0.72;0.6300000000000001;0.72;0.6300000000000001;0.72;Jobs_util1.xml;Jobs_util2.xml
