Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0,038;21;;60rounds;Yes;Yes;2;0,35422;0,5496;0,28231;0,40617;0,90382;SimpleAgent@3004;SimpleAgent@3005;0.46915204320976794;0.7279179148349934;0.3542225735797936;0.5495978561312592;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,012;8;;60rounds;Yes;Yes;2;0,46975;0,85298;0,27425;0,27425;1,32273;Group29_BoaParty@3006;SimpleAgent@3007;0.9411329008630686;0.5182970103926483;0.852978086020117;0.4697487374091847;0.852978086020117;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,003;2;;60rounds;Yes;Yes;2;0,72357;0,78167;0,15982;0,2634;1,50524;SimpleAgent@3008;Group29_BoaParty@3009;0.7338098051658619;0.7927287084745476;0.7235718149683573;0.7816686917106553;0.0;0.7816686917106553;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,005;4;;60rounds;Yes;Yes;2;0,78146;0,95873;0;0;1,74019;Group29_BoaParty@3010;Group29_BoaParty@3011;1.0;0.8151053951696905;0.9587257527472772;0.7814625335524283;0.9587257527472772;0.7814625335524283;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,008;6;;60rounds;Yes;Yes;2;0,54717;0,81687;0,17318;0,3892;1,36404;SimpleAgent@3012;SimpleAgent@3013;0.5869898498271391;0.8763221072235143;0.5471687010120149;0.8168727776448048;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,003;3;;60rounds;Yes;Yes;2;0,79252;0,97229;0;0;1,76481;Group29_BoaParty@3014;SimpleAgent@3015;1.0;0.8151053951696905;0.9722909920997126;0.7925196333353667;0.9722909920997126;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,006;3;;60rounds;Yes;Yes;2;0,69449;0,71262;0,20723;0,27756;1,40711;SimpleAgent@3016;Group29_BoaParty@3017;0.7329242578724162;0.714283390614988;0.7126156538207171;0.6944913065013932;0.0;0.6944913065013932;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,003;2;;60rounds;Yes;Yes;2;0,80373;0,98605;0;0;1,78978;Group29_BoaParty@3018;Group29_BoaParty@3019;1.0;0.8151053951696905;0.9860481692593485;0.8037331826604911;0.9860481692593485;0.8037331826604911;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,008;3;;60rounds;Yes;Yes;2;0,58521;0,60044;0,36358;0,42573;1,18566;SimpleAgent@3020;SimpleAgent@3021;0.6175562355982891;0.6018904091416153;0.6004443649872243;0.5852126230396031;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,003;2;;60rounds;Yes;Yes;2;0,80373;0,98605;0;0;1,78978;Group29_BoaParty@3022;SimpleAgent@3023;1.0;0.8151053951696905;0.9860481692593485;0.8037331826604911;0.9860481692593485;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,002;2;;60rounds;Yes;Yes;2;0,72357;0,78167;0,15982;0,2634;1,50524;SimpleAgent@3024;Group29_BoaParty@3025;0.7338098051658619;0.7927287084745476;0.7235718149683573;0.7816686917106553;0.0;0.7816686917106553;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,007;5;;60rounds;Yes;Yes;2;0,77056;0,94535;0;0;1,71591;Group29_BoaParty@3026;Group29_BoaParty@3027;1.0;0.8151053951696905;0.9453497733182434;0.7705597005541441;0.9453497733182434;0.7705597005541441;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,007;3;;60rounds;Yes;Yes;2;0,70551;0,97229;0;0,3217;1,6778;SimpleAgent@3028;SimpleAgent@3029;0.725620106089855;1.0;0.7055138928376039;0.9722909920997126;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,004;2;;60rounds;Yes;Yes;2;0,80373;0,98605;0;0;1,78978;Group29_BoaParty@3030;SimpleAgent@3031;1.0;0.8151053951696905;0.9860481692593485;0.8037331826604911;0.9860481692593485;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,005;2;;60rounds;Yes;Yes;2;0,72357;0,78167;0,15982;0,2634;1,50524;SimpleAgent@3032;Group29_BoaParty@3033;0.7338098051658619;0.7927287084745476;0.7235718149683573;0.7816686917106553;0.0;0.7816686917106553;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,004;3;;60rounds;Yes;Yes;2;0,79252;0,97229;0;0;1,76481;Group29_BoaParty@3034;Group29_BoaParty@3035;1.0;0.8151053951696905;0.9722909920997126;0.7925196333353667;0.9722909920997126;0.7925196333353667;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,008;3;;60rounds;Yes;Yes;2;0,64823;0,85777;0,18422;0,18422;1,506;SimpleAgent@3036;SimpleAgent@3037;0.882213997554383;0.6667012027811694;0.8577687229264045;0.6482275738861749;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,013;8;;60rounds;Yes;Yes;2;0,73876;0,90633;0;0;1,64509;Group29_BoaParty@3038;SimpleAgent@3039;1.0;0.8151053951696905;0.9063311730340009;0.7387554289504884;0.9063311730340009;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,007;3;;60rounds;Yes;Yes;2;0,79252;0,97229;0;0;1,76481;SimpleAgent@3040;Group29_BoaParty@3041;1.0;0.8151053951696905;0.9722909920997126;0.7925196333353667;0.0;0.7925196333353667;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,004;2;;60rounds;Yes;Yes;2;0,80373;0,98605;0;0;1,78978;Group29_BoaParty@3042;Group29_BoaParty@3043;1.0;0.8151053951696905;0.9860481692593485;0.8037331826604911;0.9860481692593485;0.8037331826604911;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,008;4;;60rounds;Yes;Yes;2;0,57705;0,59207;0,35851;0,41979;1,16911;SimpleAgent@3044;SimpleAgent@3045;0.6175562355982891;0.6018904091416153;0.5920670668377446;0.5770478355756617;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,005;2;;60rounds;Yes;Yes;2;0,80373;0,98605;0;0;1,78978;Group29_BoaParty@3046;SimpleAgent@3047;1.0;0.8151053951696905;0.9860481692593485;0.8037331826604911;0.9860481692593485;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,006;2;;60rounds;Yes;Yes;2;0,7155;0,74564;0,18685;0,25609;1,46113;SimpleAgent@3048;Group29_BoaParty@3049;0.7561864918610048;0.725620106089855;0.7456363059181931;0.7154963771876758;0.0;0.7154963771876758;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,005;3;;60rounds;Yes;Yes;2;0,79252;0,97229;0;0;1,76481;Group29_BoaParty@3050;Group29_BoaParty@3051;1.0;0.8151053951696905;0.9722909920997126;0.7925196333353667;0.9722909920997126;0.7925196333353667;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,019;12;;60rounds;Yes;Yes;2;0,69838;0,8568;0;0;1,55518;SimpleAgent@3052;SimpleAgent@3053;1.0;0.8151053951696905;0.8567999689789504;0.6983822772959659;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,015;6;;60rounds;Yes;Yes;2;0,75981;0,93216;0;0;1,69197;Group29_BoaParty@3054;SimpleAgent@3055;1.0;0.8151053951696905;0.932160413290194;0.7598089820364455;0.932160413290194;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,005;3;;60rounds;Yes;Yes;2;0,82805;0,91506;0;0,18926;1,7431;SimpleAgent@3056;Group29_BoaParty@3057;0.851647611783233;0.9411329008630686;0.8280493013800705;0.9150550418778334;0.0;0.9150550418778334;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,008;3;;60rounds;Yes;Yes;2;0,79252;0,97229;0;0;1,76481;Group29_BoaParty@3058;Group29_BoaParty@3059;1.0;0.8151053951696905;0.9722909920997126;0.7925196333353667;0.9722909920997126;0.7925196333353667;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,009;4;;60rounds;Yes;Yes;2;0,78146;0,95873;0;0;1,74019;SimpleAgent@3060;SimpleAgent@3061;1.0;0.8151053951696905;0.9587257527472772;0.7814625335524283;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,003;2;;60rounds;Yes;Yes;2;0,51107;0,928;0,29837;0,29837;1,43907;Group29_BoaParty@3062;SimpleAgent@3063;0.9411329008630686;0.5182970103926483;0.9280023739257687;0.5110658182302643;0.9280023739257687;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,002;2;;60rounds;Yes;Yes;2;0,7155;0,98605;0;0,32625;1,70154;SimpleAgent@3064;Group29_BoaParty@3065;0.725620106089855;1.0;0.7154963771876758;0.9860481692593485;0.0;0.9860481692593485;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,004;3;;60rounds;Yes;Yes;2;0,79252;0,97229;0;0;1,76481;Group29_BoaParty@3066;Group29_BoaParty@3067;1.0;0.8151053951696905;0.9722909920997126;0.7925196333353667;0.9722909920997126;0.7925196333353667;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,006;3;;60rounds;Yes;Yes;2;0,51344;0,56346;0,44175;0,51285;1,07689;SimpleAgent@3068;SimpleAgent@3069;0.5280709465184535;0.5795137224464724;0.5134386244894614;0.5634559721328781;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,007;3;;60rounds;Yes;Yes;2;0,79252;0,97229;0;0;1,76481;Group29_BoaParty@3070;SimpleAgent@3071;1.0;0.8151053951696905;0.9722909920997126;0.7925196333353667;0.9722909920997126;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,005;2;;60rounds;Yes;Yes;2;0,59843;0,76241;0,25242;0,38981;1,36084;SimpleAgent@3072;Group29_BoaParty@3073;0.6068967521790383;0.7732022939236736;0.5984294314155851;0.762414706390567;0.0;0.762414706390567;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,004;3;;60rounds;Yes;Yes;2;0,79252;0,97229;0;0;1,76481;Group29_BoaParty@3074;Group29_BoaParty@3075;1.0;0.8151053951696905;0.9722909920997126;0.7925196333353667;0.9722909920997126;0.7925196333353667;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,005;3;;60rounds;Yes;Yes;2;0,64823;0,85777;0,18422;0,18422;1,506;SimpleAgent@3076;SimpleAgent@3077;0.882213997554383;0.6667012027811694;0.8577687229264045;0.6482275738861749;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,003;2;;60rounds;Yes;Yes;2;0,51107;0,928;0,29837;0,29837;1,43907;Group29_BoaParty@3078;SimpleAgent@3079;0.9411329008630686;0.5182970103926483;0.9280023739257687;0.5110658182302643;0.9280023739257687;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,004;3;;60rounds;Yes;Yes;2;0,59094;0,82805;0,18421;0,383;1,41899;SimpleAgent@3080;Group29_BoaParty@3081;0.6077822994724837;0.8516476117832331;0.5909412549347458;0.8280493013800706;0.0;0.8280493013800706;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,005;3;;60rounds;Yes;Yes;2;0,79252;0,97229;0;0;1,76481;Group29_BoaParty@3082;Group29_BoaParty@3083;1.0;0.8151053951696905;0.9722909920997126;0.7925196333353667;0.9722909920997126;0.7925196333353667;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,005;2;;60rounds;Yes;Yes;2;0,5993;0,83977;0,18681;0,38842;1,43907;SimpleAgent@3084;SimpleAgent@3085;0.6077822994724837;0.8516476117832331;0.5993026237030796;0.8397655684529534;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,031;20;;60rounds;Yes;Yes;2;0,62413;0,76571;0;0;1,38984;Group29_BoaParty@3086;SimpleAgent@3087;1.0;0.8151053951696905;0.7657103032214497;0.6241345992928233;0.7657103032214497;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,005;2;;60rounds;Yes;Yes;2;0,72357;0,78167;0,15982;0,2634;1,50524;SimpleAgent@3088;Group29_BoaParty@3089;0.7338098051658619;0.7927287084745476;0.7235718149683573;0.7816686917106553;0.0;0.7816686917106553;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,009;4;;60rounds;Yes;Yes;2;0,78146;0,95873;0;0;1,74019;Group29_BoaParty@3090;Group29_BoaParty@3091;1.0;0.8151053951696905;0.9587257527472772;0.7814625335524283;0.9587257527472772;0.7814625335524283;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,007;3;;60rounds;Yes;Yes;2;0,82805;0,91506;0;0,18926;1,7431;SimpleAgent@3092;SimpleAgent@3093;0.851647611783233;0.9411329008630686;0.8280493013800705;0.9150550418778334;0.0;0.0;laptop_buyer_utility.xml;laptop_seller_utility.xml
