sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0,070;61;;60rounds;No;No;1;0,00000;0,00000;1,19819;1,28905;0,00000;Group29_BoaParty@43404;TimeDependentAgentHardliner@43405;0.0;0.0;0.0;0.0;0.0;0.0;party9_utility.xml;party1_utility.xml
0,114;54;;60rounds;Yes;No;2;0,68667;1,00000;0,00000;0,36468;1,68667;TimeDependentAgentHardliner@43406;Group29_BoaParty@43407;1.0;0.6866666666666666;1.0;0.6866666666666666;0.0;0.6866666666666666;party9_utility.xml;party1_utility.xml
0,073;38;;60rounds;Yes;No;2;0,75000;0,93443;0,00000;0,27775;1,68443;TimeDependentAgentBoulware@43408;Group29_BoaParty@43409;0.9344344216807701;0.7499999999999999;0.9344344216807701;0.7499999999999999;0.0;0.7499999999999999;party9_utility.xml;party1_utility.xml
0,002;2;;60rounds;Yes;No;2;0,71667;0,89790;0,04946;0,29566;1,61457;TimeDependentAgentConceder@43410;Group29_BoaParty@43411;0.8978984410040878;0.7166666666666666;0.8978984410040878;0.7166666666666666;0.0;0.7166666666666666;party9_utility.xml;party1_utility.xml
0,051;45;;60rounds;Yes;No;2;0,87333;0,91832;0,00000;0,16447;1,79166;Group29_BoaParty@43412;TimeDependentAgentBoulware@43413;0.9183223339690778;0.8733333333333334;0.9183223339690778;0.8733333333333334;0.9183223339690778;0.0;party9_utility.xml;party1_utility.xml
0,056;54;;60rounds;Yes;No;2;0,68667;1,00000;0,00000;0,36468;1,68667;TimeDependentAgentHardliner@43414;TimeDependentAgentBoulware@43415;1.0;0.6866666666666666;1.0;0.6866666666666666;0.0;0.0;party9_utility.xml;party1_utility.xml
0,048;47;;60rounds;Yes;No;2;0,81342;1,00000;0,00000;0,00000;1,81342;TimeDependentAgentBoulware@43416;TimeDependentAgentHardliner@43417;0.8134174086583098;1.0;0.8134174086583098;1.0;0.0;0.0;party9_utility.xml;party1_utility.xml
0,004;5;;60rounds;Yes;No;2;0,81342;1,00000;0,00000;0,00000;1,81342;TimeDependentAgentConceder@43418;TimeDependentAgentHardliner@43419;0.8134174086583098;1.0;0.8134174086583098;1.0;0.0;0.0;party9_utility.xml;party1_utility.xml
0,013;12;;60rounds;Yes;No;2;0,86083;0,90072;0,02159;0,16428;1,76155;Group29_BoaParty@43420;TimeDependentAgentConceder@43421;0.900719964337971;0.8608333333333335;0.900719964337971;0.8608333333333335;0.900719964337971;0.0;party9_utility.xml;party1_utility.xml
0,015;14;;60rounds;Yes;No;2;0,68667;1,00000;0,00000;0,36468;1,68667;TimeDependentAgentHardliner@43422;TimeDependentAgentConceder@43423;1.0;0.6866666666666666;1.0;0.6866666666666666;0.0;0.0;party9_utility.xml;party1_utility.xml
0,015;14;;60rounds;Yes;No;2;0,68667;1,00000;0,00000;0,36468;1,68667;TimeDependentAgentBoulware@43424;TimeDependentAgentConceder@43425;1.0;0.6866666666666666;1.0;0.6866666666666666;0.0;0.0;party9_utility.xml;party1_utility.xml
0,004;5;;60rounds;Yes;No;2;0,81342;1,00000;0,00000;0,00000;1,81342;TimeDependentAgentConceder@43426;TimeDependentAgentBoulware@43427;0.8134174086583098;1.0;0.8134174086583098;1.0;0.0;0.0;party9_utility.xml;party1_utility.xml
0,065;61;;60rounds;No;No;1;0,00000;0,00000;1,21996;1,30228;0,00000;Group29_BoaParty@43428;TimeDependentAgentHardliner@43429;0.0;0.0;0.0;0.0;0.0;0.0;party8_utility.xml;party1_utility.xml
0,003;2;;60rounds;Yes;No;2;0,72333;1,00000;0,00000;0,22367;1,72333;TimeDependentAgentHardliner@43430;Group29_BoaParty@43431;0.9999999999999999;0.7233333333333334;0.9999999999999999;0.7233333333333334;0.0;0.7233333333333334;party8_utility.xml;party1_utility.xml
0,003;2;;60rounds;Yes;No;2;0,72333;1,00000;0,00000;0,22367;1,72333;TimeDependentAgentBoulware@43432;Group29_BoaParty@43433;0.9999999999999999;0.7233333333333334;0.9999999999999999;0.7233333333333334;0.0;0.7233333333333334;party8_utility.xml;party1_utility.xml
